id,nama_brand,jenis_usaha,lokasi,rating,total_review,rentang_harga,gambar
1,Beard Papa's,Event & Promotion,Arrival Lobby Terminal 1,3.8,98,murah,beard-papas.webp
2,Chez Choux,Event & Promotion,Arrival Lobby Terminal 1,4.7,7,sedang,chez-choux.webp
3,Periplus,Event & Promotion,Boarding Lounge Terminal 1,4.5,53,sedang,periplus.webp
4,Doughlab,Event & Promotion,Boarding Lounge Terminal 1,4.5,261,mahal,doughlab.webp
5,Polo,Event & Promotion,Boarding Lounge Terminal 1,3.1,9,sedang,polo.webp
6,Beard Papa's,Event & Promotion,Boarding Lounge Terminal 1,3.8,98,murah,beard-papas2.webp
7,Chez Choux,Event & Promotion,Boarding Lounge Terminal 1,4.7,7,sedang,chez-choux2.webp
8,Polo Leather,Event & Promotion,Boarding Lounge Terminal 1,3.1,9,sedang,polo2.webp
9,Blue Sky Lounge,Event & Promotion,Boarding Lounge Terminal 1,4.4,239,mahal,bluesky.webp
10,A&W,Food & Beverage,Arrival Lobby B Terminal 1,4.2,2820,sedang,a&w.webp
11,Bakmi Gocit,Food & Beverage,Arrival Lobby B Terminal 1,3.5,16,sedang,bakmi-gocit.webp
12,Pastry Station,Food & Beverage,Arrival Lobby B Terminal 1,5.0,1,sedang,pastry.webp
13,LA Café,Food & Beverage,Arrival Lobby B Terminal 1,3.7,219,sedang,la-cafe.webp
14,Roti O,Food & Beverage,Arrival Lobby B Terminal 1,3.7,164,murah,roti-o.webp
15,Roti Boy,Food & Beverage,Arrival Lobby B Terminal 1,4.3,79,murah,roti-boy.webp
16,Beard Papa's,Food & Beverage,Arrival Lobby B Terminal 1,3.8,98,murah,beard-papas3.webp
17,Soto Bangkalan,Food & Beverage,Central Lobby Terminal 1,4.0,2,sedang,soto.webp
18,Soto Bangkalan,Food & Beverage,Non Terminal 2,4.0,2,sedang,soto2.webp
19,Solaria,Food & Beverage,Central Lobby Terminal 1,4.3,25,sedang,solaria.webp
20,Roti O,Food & Beverage,Central Lobby Terminal 1,3.7,164,murah,roti-o2.webp
21,Soerabaja Café,Food & Beverage,Central Lobby Terminal 1,3.7,110,sedang,soerabaja-cafe.webp
22,A&W,Food & Beverage,Central Lobby Terminal 1,4.2,2820,sedang,a&w2.webp
23,Java Café,Food & Beverage,Central Lobby Terminal 1,4.1,346,sedang,java-cafe.webp
24,Restaurant Bangkalan,Food & Beverage,Central Lobby Terminal 1,3.5,210,sedang,restaurant.webp
25,Dunkin Donut,Food & Beverage,Departure Lobby Terminal 1,4.1,78,sedang,dunkin-donut.webp
26,Chez Choux,Food & Beverage,Departure Lobby Terminal 1,4.7,7,sedang,chez-choux3.webp
27,Kedai MJ,Food & Beverage,Departure Lobby Terminal 1,2.8,12,sedang,kedai-mj.webp
28,Roti O,Food & Beverage,Departure Lobby Terminal 1,3.7,164,murah,roti-o3.webp
29,Expat,Food & Beverage,Departure Lobby Terminal 1,4.7,65,sedang,expat.webp
30,A&W,Food & Beverage,Arrival Lobby A Terminal 1,5.0,1,sedang,a&w3.webp
31,Warkop Sedati,Food & Beverage,Boarding Lounge Terminal 2,4.0,212,sedang,warkop-sedati.webp
32,Bakso Pak Djo,Food & Beverage,Boarding Lounge Terminal 1,3.8,31,murah,bakso-pakdjo.webp
33,Roti O,Food & Beverage,Boarding Lounge Terminal 1,3.7,164,murah,roti-o4.webp
34,Bangi Café,Food & Beverage,Boarding Lounge Terminal 1,3.1,91,sedang,bangi-cafe.webp
35,Starbucks,Food & Beverage,Boarding Lounge Terminal 1,4.5,179,sedang,starbucks.webp
36,Bakmi Gocit,Food & Beverage,Boarding Lounge Terminal 2,3.9,149,sedang,bakmi-gocit.webp
37,A&W,Food & Beverage,Boarding Lounge Terminal 1,4.2,2820,sedang,a&w4.webp
38,Subway,Food & Beverage,Boarding Lounge Terminal 1,4.4,68,sedang,subway.webp
39,Donatking,Food & Beverage,Boarding Lounge Terminal 1,4.2,10,murah,donutking.webp
40,Bakso Pak Djo,Food & Beverage,Boarding Lounge Terminal 1,3.8,31,murah,bakso-pakdjo2.webp
41,Roti O,Food & Beverage,Boarding Lounge Terminal 1,3.7,164,murah,roti-o5.webp
42,Soerabaja Café,Food & Beverage,Boarding Lounge Terminal 1,3.7,110,sedang,soerabaja-cafe2.webp
43,LA Café,Food & Beverage,Boarding Lounge Terminal 1,3.7,219,sedang,la-cafe2.webp
44,Bebek Goreng Harissa,Food & Beverage,Boarding Lounge Terminal 1,4.0,85,sedang,harissa.webp
45,Roti O,Food & Beverage,Boarding Lounge Terminal 1,3.7,164,murah,roti-o6.webp
46,A Fung,Food & Beverage,Boarding Lounge Terminal 1,3.8,18,sedang,afung.webp
47,Gloria Jeans Coffee,Food & Beverage,Boarding Lounge Terminal 1,4.0,203,sedang,gloria.webp
48,Kulineri,Food & Beverage,Boarding Lounge Terminal 1,4.2,11,sedang,kulineri.webp
49,Restaurant Bangkalan,Food & Beverage,Boarding Lounge Terminal 1,3.5,210,mahal,restaurant2.webp
50,Bakmi Gocit,Food & Beverage,Boarding Lounge Terminal 2,3.9,149,sedang,bakmi-gocit2.webp
51,Bangi Café,Food & Beverage,Boarding Lounge Terminal 1,3.1,91,sedang,bangi-cafe2.webp
52,Majapahit Lounge,Lounge,Boarding Lounge Terminal 1,4.8,93,mahal,majapahit.webp
53,Concordia Lounge,Lounge,Boarding Lounge Terminal 1,3.7,232,mahal,concordia.webp
54,Alfa Express,Retail,Central Lobby Terminal 1,3.8,40,murah,alfaex.webp
55,Circle-K,Retail,Lobby Arrival B Terminal 1,3.7,14,murah,circlek.webp
56,Family Mart,Retail,Lobby Arrival B Terminal 1,4.4,17,murah,famima.webp
57,Bogajaya,Retail,Departure Lobby Terminal 1,3.7,68,murah,bogajaya.webp
58,Bogajaya,Retail,Departure Lobby Terminal 1,3.7,68,murah,bogajaya2.webp
59,Alfa Express,Retail,Departure Lobby Terminal 1,4.5,4,murah,alfaex2.webp
60,Sandang Pangan,Retail,Departure Lobby Terminal 1,5.0,1,sedang,sandangpangan.webp
61,Alfa Express,Retail,Lobby Arrival A Terminal 1,4.5,4,murah,alfaex3.webp
62,Circle-K,Retail,Boarding Lounge Terminal 1,3.7,14,murah,circlek2.webp
63,Bogajaya,Retail,Boarding Lounge Terminal 1,3.7,68,murah,bogajaya3.webp
64,Polo,Retail,Boarding Lounge Terminal 1,3.1,9,sedang,polo3.webp
65,Beauty Center,Retail,Boarding Lounge Terminal 1,5.0,1,sedang,beauty.webp
66,Polo,Retail,Boarding Lounge Terminal 1,3.1,9,sedang,polo4.webp
67,Bogajaya,Retail,Boarding Lounge Terminal 1,3.7,68,murah,bogajaya4.webp
