id,nama_brand,jenis_usaha,lokasi,rating,total_review,rentang_harga,gambar
1,Beard Papa's,Event & Promotion,Arrival Lobby Terminal 1,3.8,98,murah,beard-papas.png
2,Chez Choux,Event & Promotion,Arrival Lobby Terminal 1,4.7,7,sedang,chez-choux.png
3,Periplus,Event & Promotion,Boarding Lounge Terminal 1,4.5,53,sedang,periplus.png
4,Doughlab,Event & Promotion,Boarding Lounge Terminal 1,4.5,261,mahal,doughlab.png
5,Polo,Event & Promotion,Boarding Lounge Terminal 1,3.1,9,sedang,polo.png
6,Beard Papa's,Event & Promotion,Boarding Lounge Terminal 1,3.8,98,murah,beard-papas2.png
7,Chez Choux,Event & Promotion,Boarding Lounge Terminal 1,4.7,7,sedang,chez-choux2.png
8,Polo Leather,Event & Promotion,Boarding Lounge Terminal 1,3.1,9,sedang,polo2.png
9,Blue Sky Lounge,Event & Promotion,Boarding Lounge Terminal 1,4.4,239,mahal,bluesky.png
10,A&W,Food & Beverage,Arrival Lobby B Terminal 1,4.2,2820,sedang,a&w.png
11,Bakmi Gocit,Food & Beverage,Arrival Lobby B Terminal 1,3.5,16,sedang,bakmi-gocit.png
12,Pastry Station,Food & Beverage,Arrival Lobby B Terminal 1,5.0,1,sedang,pastry.png
13,LA Café,Food & Beverage,Arrival Lobby B Terminal 1,3.7,219,sedang,la-cafe.png
14,Roti O,Food & Beverage,Arrival Lobby B Terminal 1,3.7,164,murah,roti-o.png
15,Roti Boy,Food & Beverage,Arrival Lobby B Terminal 1,4.3,79,murah,roti-boy.png
16,Beard Papa's,Food & Beverage,Arrival Lobby B Terminal 1,3.8,98,murah,beard-papas3.png
17,Soto Bangkalan,Food & Beverage,Central Lobby Terminal 1,4.0,2,sedang,soto.png
18,Soto Bangkalan,Food & Beverage,Non Terminal 2,4.0,2,sedang,soto2.png
19,Solaria,Food & Beverage,Central Lobby Terminal 1,4.3,25,sedang,solaria.png
20,Roti O,Food & Beverage,Central Lobby Terminal 1,3.7,164,murah,roti-o2.png
21,Soerabaja Café,Food & Beverage,Central Lobby Terminal 1,3.7,110,sedang,soerabaja-cafe.png
22,A&W,Food & Beverage,Central Lobby Terminal 1,4.2,2820,sedang,a&w2.png
23,Java Café,Food & Beverage,Central Lobby Terminal 1,4.1,346,sedang,java-cafe.png
24,Restaurant Bangkalan,Food & Beverage,Central Lobby Terminal 1,3.5,210,sedang,restaurant.png
25,Dunkin Donut,Food & Beverage,Departure Lobby Terminal 1,4.1,78,sedang,dunkin-donut.png
26,Chez Choux,Food & Beverage,Departure Lobby Terminal 1,4.7,7,sedang,chez-choux3.png
27,Kedai MJ,Food & Beverage,Departure Lobby Terminal 1,2.8,12,sedang,kedai-mj.png
28,Roti O,Food & Beverage,Departure Lobby Terminal 1,3.7,164,murah,roti-o3.png
