id,nama_brand,jenis_usaha,lokasi,rating,total_review,rentang_harga,penjualan,cluster
1,Beard Papa's,Event & Promotion,Arrival Lobby Terminal 1,3.8,98,murah,,0
2,Chez Choux,Event & Promotion,Arrival Lobby Terminal 1,4.7,7,sedang,,1
3,Periplus,Event & Promotion,Boarding Lounge Terminal 1,4.5,53,sedang,,0
4,Doughlab,Event & Promotion,Boarding Lounge Terminal 1,4.5,261,mahal,,0
5,Polo,Event & Promotion,Boarding Lounge Terminal 1,3.1,9,sedang,,2
6,Beard Papa's,Event & Promotion,Boarding Lounge Terminal 1,3.8,98,murah,,0
7,Chez Choux,Event & Promotion,Boarding Lounge Terminal 1,4.7,7,sedang,,1
8,Polo Leather,Event & Promotion,Boarding Lounge Terminal 1,3.1,9,sedang,,2
9,Blue Sky Lounge,Event & Promotion,Boarding Lounge Terminal 1,4.4,239,sangat mahal,,0
10,A&W,Food & Beverage,Arrival Lobby B Terminal 1,4.2,2820,sedang,,0
11,Bakmi Gocit,Food & Beverage,Arrival Lobby B Terminal 1,3.5,16,sedang,,2
12,Pastry Station,Food & Beverage,Arrival Lobby B Terminal 1,5.0,1,sedang,,1
13,LA Café,Food & Beverage,Arrival Lobby B Terminal 1,3.7,219,sedang,,0
14,Roti O,Food & Beverage,Arrival Lobby B Terminal 1,3.7,164,murah,,0
15,Roti Boy,Food & Beverage,Arrival Lobby B Terminal 1,4.3,79,murah,,0
16,Beard Papa's,Food & Beverage,Arrival Lobby B Terminal 1,3.8,98,murah,,0
17,Soto Bangkalan,Food & Beverage,Central Lobby Terminal 1,4.0,2,sedang,,1
18,Soto Bangkalan,Food & Beverage,Non Terminal 2,4.0,2,sedang,,1
19,Solaria,Food & Beverage,Central Lobby Terminal 1,4.3,25,sedang,,1
20,Roti O,Food & Beverage,Central Lobby Terminal 1,3.7,164,murah,,0
21,Soerabaja Café,Food & Beverage,Central Lobby Terminal 1,3.7,110,sedang,,0
22,A&W,Food & Beverage,Central Lobby Terminal 1,4.2,2820,sedang,,0
23,Java Café,Food & Beverage,Central Lobby Terminal 1,4.1,346,sedang,,0
24,Restaurant Bangkalan,Food & Beverage,Central Lobby Terminal 1,3.5,210,sedang,,0
25,Dunkin Donut,Food & Beverage,Departure Lobby Terminal 1,4.1,78,sedang,,0
26,Chez Choux,Food & Beverage,Departure Lobby Terminal 1,4.7,7,sedang,,1
27,Kedai MJ,Food & Beverage,Departure Lobby Terminal 1,2.8,12,sedang,,2
28,Roti O,Food & Beverage,Departure Lobby Terminal 1,3.7,164,murah,,0
29,Expat,Food & Beverage,Departure Lobby Terminal 1,4.7,65,sedang,,0
30,A&W,Food & Beverage,Arrival Lobby A Terminal 1,5.0,1,sedang,,1
31,Warkop Sedati,Food & Beverage,Boarding Lounge Terminal 2,4.0,212,sedang,,0
32,Bakso Pak Djo,Food & Beverage,Boarding Lounge Terminal 1,3.8,31,murah,,2
33,Roti O,Food & Beverage,Boarding Lounge Terminal 1,3.7,164,murah,,0
34,Bangi Café,Food & Beverage,Boarding Lounge Terminal 1,3.1,91,sedang,,2
35,Starbucks,Food & Beverage,Boarding Lounge Terminal 1,4.5,179,sedang,,0
36,Bakmi Gocit,Food & Beverage,Boarding Lounge Terminal 2,3.9,149,sedang,,0
37,A&W,Food & Beverage,Boarding Lounge Terminal 1,4.2,2820,sedang,,0
38,Subway,Food & Beverage,Boarding Lounge Terminal 1,4.4,68,sedang,,0
39,Donatking,Food & Beverage,Boarding Lounge Terminal 1,4.2,10,murah,,1
40,Bakso Pak Djo,Food & Beverage,Boarding Lounge Terminal 1,3.8,31,murah,,2
41,Roti O,Food & Beverage,Boarding Lounge Terminal 1,3.7,164,murah,,0
42,Soerabaja Café,Food & Beverage,Boarding Lounge Terminal 1,3.7,110,sedang,,0
43,LA Café,Food & Beverage,Boarding Lounge Terminal 1,3.7,219,sedang,,0
44,Bebek Goreng Harissa,Food & Beverage,Boarding Lounge Terminal 1,4.0,85,sedang,,0
45,Roti O,Food & Beverage,Boarding Lounge Terminal 1,3.7,164,murah,,0
46,A Fung,Food & Beverage,Boarding Lounge Terminal 1,3.8,18,sedang,,2
